epsilon,shift,zoom_upper,loss,accuracy,precision,recall
0.01,1,1.1,0.3896656334400177,0.8590957522392273,0.8813906908035278,0.8454787135124207
0.01,1,1.2000000000000002,0.39638394117355347,0.8552659749984741,0.8773438334465027,0.841223418712616
0.01,1,1.3000000000000003,0.4104278087615967,0.8521276712417603,0.8734739422798157,0.8372340202331543
0.01,2,1.1,0.3943118751049042,0.8586702346801758,0.88243168592453,0.8415957689285278
0.01,2,1.2000000000000002,0.4018756151199341,0.8549467921257019,0.8791624903678894,0.8397872447967529
0.01,2,1.3000000000000003,0.41854196786880493,0.8500531911849976,0.8724507093429565,0.8328191637992859
0.01,3,1.1,0.43847566843032837,0.8442021012306213,0.8737162947654724,0.8236170411109924
0.01,3,1.2000000000000002,0.43955036997795105,0.8434574604034424,0.8705334663391113,0.825478732585907
0.01,3,1.3000000000000003,0.4515073299407959,0.8396276831626892,0.8670939207077026,0.8203723430633545
0.05,1,1.1,0.9260106086730957,0.6948404312133789,0.7263681888580322,0.6756383180618286
0.05,1,1.2000000000000002,0.8580765128135681,0.7112765908241272,0.746666669845581,0.6910638213157654
0.05,1,1.3000000000000003,0.8201642632484436,0.7217020988464355,0.7573320865631104,0.696382999420166
0.05,2,1.1,0.8920877575874329,0.7030851244926453,0.7383425831794739,0.680531919002533
0.05,2,1.2000000000000002,0.8612181544303894,0.710106372833252,0.7465587258338928,0.6865957379341125
0.05,2,1.3000000000000003,0.823473334312439,0.7209574580192566,0.759641170501709,0.693617045879364
0.05,3,1.1,0.9060497283935547,0.6987233757972717,0.7402795553207397,0.670425534248352
0.05,3,1.2000000000000002,0.8787883520126343,0.7074999809265137,0.7486631274223328,0.6776595711708069
0.05,3,1.3000000000000003,0.8522765040397644,0.7107978463172913,0.7543766498565674,0.6784574389457703
0.1,1,1.1,4.829192638397217,0.25547870993614197,0.30817654728889465,0.22654254734516144
0.1,1,1.2000000000000002,4.840518951416016,0.2578723430633545,0.31237664818763733,0.22728723287582397
0.1,1,1.3000000000000003,4.780853748321533,0.2609574496746063,0.31682875752449036,0.228723406791687
0.1,2,1.1,4.805473804473877,0.25920212268829346,0.31029242277145386,0.2280319184064865
0.1,2,1.2000000000000002,4.836305618286133,0.2565957307815552,0.31224921345710754,0.22765956819057465
0.1,2,1.3000000000000003,4.751112461090088,0.2609574496746063,0.3186245560646057,0.2296808511018753
0.1,3,1.1,4.847923278808594,0.25558510422706604,0.30684134364128113,0.22425532341003418
0.1,3,1.2000000000000002,4.846431255340576,0.25117021799087524,0.3041342794895172,0.2206914871931076
0.1,3,1.3000000000000003,4.746299743652344,0.26180851459503174,0.3176453113555908,0.22904255986213684
